Game Version,Player ID,Club,Value In (M),Wage In (K),Joined,Contract Valid Until,Release Clause (M)
FIFA23,247181,Real Valladolid CF,23.5,18,11/07/2022 00:00,2027,56.4
FIFA23,216820,FC Nantes,11.5,27,01/07/2020 00:00,2024,23
FIFA23,230269,Palmeiras,11.5,38,20/06/2022 00:00,2025,20.7
FIFA23,181820,Hertha BSC,8.5,34,27/07/2021 00:00,2023,14.5
FIFA23,218659,Newcastle United,12,69,10/06/2022 00:00,2026,23.7
FIFA23,186682,Real Oviedo,3.6,11,02/08/2022 00:00,2023,5.8
FIFA23,254796,PSV,23,16,21/12/2019 00:00,2025,36.8
FIFA23,226380,Wolverhampton Wanderers,12.5,77,01/07/2022 00:00,2026,24.7
FIFA23,224019,FC Nantes,12.5,24,01/07/2020 00:00,2026,25.9
FIFA23,243032,Valencia CF,21.5,32,10/05/2022 00:00,2026,49.5
FIFA23,240716,Napoli,15.5,37,01/07/2022 00:00,2027,29.5
FIFA23,225711,Paris Saint-Germain,11.5,61,16/07/2019 00:00,2024,22.1
FIFA23,239482,FC Porto,15,13,01/02/2022 00:00,2026,31.1
FIFA23,216258,TSG Hoffenheim,11,39,01/07/2019 00:00,2026,18.7
FIFA23,232639,Sport-Club Freiburg,16.5,25,05/07/2022 00:00,2024,31.4
FIFA23,245211,PSV,20,15,27/07/2016 00:00,2025,32
FIFA23,247182,Eintracht Frankfurt,14.5,23,31/01/2019 00:00,2026,25.7
FIFA23,203757,Al Taawoun,10.5,30,09/02/2022 00:00,2022,17.3
FIFA23,201505,Girona FC,7,25,25/07/2022 00:00,2023,15.4
FIFA23,233959,Boca Juniors,12.5,20,23/07/2018 00:00,2024,18.4
FIFA23,246186,Fiorentina,17,47,29/01/2022 00:00,2026,32.3
FIFA23,146439,Cádiz CF,3.6,25,04/08/2020 00:00,2023,7.6
FIFA23,204529,Chelsea,11,100,03/07/2016 00:00,2023,20.4
FIFA23,186627,Adana Demirspor,9,25,07/07/2021 00:00,2024,18
FIFA23,212219,RC Strasbourg Alsace,11,25,05/07/2019 00:00,2023,21.7
FIFA23,228687,OGC Nice,15.5,39,29/08/2019 00:00,2024,30.6
FIFA23,211381,Angers SCO,11,28,05/10/2020 00:00,2024,22
FIFA23,225783,Montpellier Hérault SC,15,22,01/07/2020 00:00,2024,29.6
FIFA23,186547,Lazio,9,50,27/01/2021 00:00,2023,15.3
FIFA23,256958,Arsenal,23.5,62,01/07/2022 00:00,2027,49.4
FIFA23,49369,Sagan Tosu,4.7,8,16/07/2018 00:00,2019,5.8
FIFA23,224221,Crystal Palace,12,48,25/09/2020 00:00,2022,23.7
FIFA23,241202,Leicester City,17,68,01/07/2021 00:00,2026,35.7
FIFA23,241042,Tottenham Hotspur,20,49,29/08/2018 00:00,2024,42
FIFA23,156616,US Salernitana 1919,3.6,22,06/09/2021 00:00,2023,6.5
FIFA23,230899,Atalanta,15,39,04/08/2022 00:00,2026,26.6
FIFA23,220633,Everton,12.5,40,22/07/2021 00:00,2024,24.7
FIFA23,225793,Everton,22,31,05/10/2020 00:00,2025,46.2
FIFA23,230978,Nottingham Forest,14.5,56,01/07/2022 00:00,2027,30.1
FIFA23,235353,Watford,16.5,39,08/08/2019 00:00,2024,34.7
FIFA23,201399,Paris Saint-Germain,10.5,75,08/06/2020 00:00,2024,19.4
FIFA23,204024,Borussia Mönchengladbach,7.5,26,01/07/2016 00:00,2023,12.8
FIFA23,194229,RC Celta de Vigo,7.5,22,01/07/2009 00:00,2023,15.8
FIFA23,182493,Vélez Sarsfield,1.9,11,22/06/2022 00:00,2023,2.9
FIFA23,221491,Borussia Mönchengladbach,13,25,01/07/2015 00:00,2024,23.1
FIFA23,242374,Bologna,17,31,01/07/2021 00:00,2024,32.3
FIFA23,231627,Unión Deportiva Almería,15.5,28,05/10/2020 00:00,2025,35.3
FIFA23,199393,FC Nantes,3.4,25,28/07/2017 00:00,2024,6.8
FIFA23,242578,AS Monaco,22,31,01/07/2018 00:00,2024,46.2
FIFA23,230402,Palmeiras,12.5,33,20/06/2022 00:00,2025,22.5
FIFA23,245336,Wolverhampton Wanderers,14.5,62,09/08/2018 00:00,2026,30.5
FIFA23,238896,FC Porto,14,14,01/07/2021 00:00,2026,29.1
FIFA23,246785,Tottenham Hotspur,23.5,56,26/07/2021 00:00,2026,49.4
FIFA23,172879,Olympiacos CFP,5,1,25/01/2021 00:00,2023,10.5
FIFA23,205193,Sevilla FC,12,25,05/10/2020 00:00,2025,26.1
FIFA23,136144,Demir Grup Sivasspor,4.5,20,23/01/2018 00:00,2019,9
FIFA23,216793,Al Wehda,10.5,30,01/07/2022 00:00,2024,17.3
FIFA23,244067,VfL Wolfsburg,22,34,25/08/2020 00:00,2025,41.8
FIFA23,214766,Real Sporting de Gijón,5,11,27/07/2022 00:00,2024,8
FIFA23,238160,Atalanta,14.5,35,17/06/2022 00:00,2026,25.7
FIFA23,222493,Borussia Mönchengladbach,11.5,26,11/01/2022 00:00,2026,20.4
FIFA23,228295,Arsenal,11.5,65,22/07/2016 00:00,2024,22.7
FIFA23,220523,Everton,11,37,09/08/2018 00:00,2023,21.7
FIFA23,235036,Stade de Reims,14.5,20,31/01/2020 00:00,2024,30.1
FIFA23,231633,West Ham United,14,53,20/06/2018 00:00,2023,27.7
FIFA23,198032,Newcastle United,8.5,69,31/01/2022 00:00,2024,16.2
FIFA23,210679,SC Braga,8.5,15,01/07/2021 00:00,2025,17
FIFA23,244915,Southampton,22,41,12/08/2020 00:00,2024,46.2
FIFA23,226601,Trabzonspor,7,33,05/10/2020 00:00,2024,13.3
FIFA23,193601,Real Betis Balompié,7,22,19/08/2021 00:00,2025,14.7
FIFA23,238476,Borussia Dortmund,14.5,39,01/07/2017 00:00,2022,25.7
FIFA23,217196,Atalanta,7,41,01/07/2017 00:00,2023,11.9
FIFA23,234835,Getafe CF,12,26,11/07/2022 00:00,2026,26.1
FIFA23,229942,AS Monaco,14.5,37,07/08/2020 00:00,2025,28.6
FIFA23,224041,1. FC Köln,10.5,21,01/07/2021 00:00,2024,19.7
FIFA23,193314,CA Osasuna,5.5,21,02/07/2022 00:00,2025,11.6
FIFA23,228789,Brighton & Hove Albion,13.5,37,25/09/2020 00:00,2022,28.4
FIFA23,163155,Watford,1.2,25,07/07/2018 00:00,2022,2.4
FIFA23,242656,Leeds United,18.5,25,23/07/2020 00:00,2026,38.9
FIFA23,216939,Philadelphia Union,5.5,7,16/01/2014 00:00,2024,8.3
FIFA23,233267,Arsenal,9.5,56,01/07/2022 00:00,2024,18.8
FIFA23,235183,Santos Laguna,11.5,16,01/07/2017 00:00,2027,20.4
FIFA23,194333,FC Augsburg,1.8,21,01/07/2020 00:00,2023,3.2
FIFA23,262621,Valencia CF,14,16,01/01/2022 00:00,2024,32.2
FIFA21,171875,Fenerbahçe SK,5.5,51,06/08/2020 00:00,2022,10.5
FIFA21,173474,FC Red Bull Salzburg,6,27,01/07/2018 00:00,2021,9
FIFA21,186832,Inter,7,74,02/07/2018 00:00,2021,11.6
FIFA21,247030,SK Slavia Praha,9.5,500,01/01/2019 00:00,2022,21.6
FIFA21,2492,SL Benfica,3,15,24/07/2014 00:00,2018,5.9
FIFA21,184999,PAOK,6.5,500,31/08/2017 00:00,2020,14.3
FIFA21,233927,Milan,10,30,04/01/2019 00:00,2023,17.8
FIFA21,167943,AS Saint-Étienne,4.5,30,27/08/2019 00:00,2020,8.6
FIFA21,210881,Aston Villa,10,49,08/08/2018 00:00,2024,19.8
FIFA21,187735,PFC CSKA Moscow,7,40,01/01/2008 00:00,2021,11.2
FIFA21,202282,Southampton,8,50,26/06/2018 00:00,2022,15.2
FIFA21,192427,Medipol Başakşehir FK,5.5,32,17/01/2017 00:00,2021,10.5
FIFA21,175895,KAA Gent,6.5,23,21/07/2018 00:00,2023,9.8
FIFA21,210761,Inter Miami,9.5,9,12/02/2020 00:00,2021,15
FIFA21,213013,Tianjin TEDA FC,9.5,18,13/07/2017 00:00,2021,15.4
FIFA21,221174,Dinamo Zagreb,8,500,01/07/2018 00:00,2022,17.6
FIFA21,176571,Swansea City,7.5,29,31/01/2018 00:00,2021,14.3
FIFA21,193158,Brighton & Hove Albion,7.5,53,07/08/2017 00:00,2023,14.3
FIFA21,170815,Royal Antwerp FC,6.5,14,02/09/2019 00:00,2020,9.8
FIFA21,213629,Fiorentina,8.5,42,09/08/2019 00:00,2023,15.1
FIFA21,201303,FC København,7.5,22,01/07/2016 00:00,2022,9.8
FIFA21,186351,Feyenoord,6.5,13,25/07/2019 00:00,2022,9.1
FIFA21,217870,Napoli,8,47,01/07/2019 00:00,2025,14.2
FIFA21,225403,Medipol Başakşehir FK,10,30,04/01/2017 00:00,2024,19.8
FIFA21,248243,Stade Rennais FC,12,5,20/01/2019 00:00,2022,25.2
FIFA21,201118,Arsenal,6.5,63,27/07/2020 00:00,2024,12.4
FIFA21,219814,FC Utrecht,8,15,27/04/2013 00:00,2022,12.6
FIFA21,221201,Hamburger SV,8,14,01/07/2019 00:00,2023,13.4
FIFA21,225201,Torino,10.5,38,17/07/2017 00:00,2022,18.6
FIFA21,168621,FC København,6.5,22,28/08/2017 00:00,2023,8.5
FIFA21,143699,Fenerbahçe SK,2.2,37,06/08/2020 00:00,2021,4.2
FIFA21,242201,Granada CF,9.5,22,04/08/2020 00:00,2024,20.7
FIFA21,192708,Al Hilal,7.5,36,05/07/2015 00:00,2020,12.8
FIFA21,192557,Hertha BSC,6.5,38,01/07/2014 00:00,2023,11.1
FIFA21,204757,Levante UD,6,21,26/08/2014 00:00,2023,12.6
FIFA21,206591,Bayer 04 Leverkusen,8,47,01/07/2018 00:00,2023,14.2
FIFA21,224425,Borussia Dortmund,9.5,45,01/07/2018 00:00,2023,16.9
FIFA21,235926,Racing Club,11,17,01/07/2016 00:00,2021,17.6
FIFA21,167514,Lazio,2.7,40,01/07/2014 00:00,2024,4.6
FIFA21,183520,RCD Espanyol,6.5,9,19/08/2020 00:00,2022,9.8
FIFA21,240190,1. FSV Mainz 05,9.5,21,06/07/2018 00:00,2022,17.8
FIFA21,184826,Leicester City,6.5,66,01/01/2018 00:00,2021,12.4
FIFA21,182152,FC Augsburg,7.5,30,31/08/2015 00:00,2019,13.5
FIFA21,207537,Lazio,9,47,22/07/2016 00:00,2022,16
FIFA21,185174,Bologna,6.5,28,01/07/2017 00:00,2022,11.7
FIFA21,226168,SV Werder Bremen,10.5,23,29/11/2014 00:00,2023,20
FIFA21,189461,West Ham United,7.5,39,09/07/2018 00:00,2021,14.3
FIFA21,199739,Akhisar Belediyespor,8,20,18/07/2018 00:00,2020,16
FIFA21,232223,Liverpool,9,55,10/08/2020 00:00,2025,17.3
FIFA21,204691,Orlando City SC,7,9,30/07/2019 00:00,2020,10.5
FIFA21,238067,Roma,12.5,500,01/07/2018 00:00,2024,28.8
FIFA21,214838,Colo-Colo,6.5,9,25/09/2020 00:00,2022,9.1
FIFA21,212678,SV Werder Bremen,8,25,01/07/2017 00:00,2022,14.2
FIFA21,218339,Borussia Dortmund,10,41,01/07/2017 00:00,2022,17.8
FIFA21,224081,Leeds United,9.5,64,01/07/2014 00:00,2024,20.9
FIFA21,216158,FC Basel 1893,7.5,16,25/09/2020 00:00,2022,11.8
FIFA21,228708,River Plate,11,14,01/07/2016 00:00,2021,17.6
FIFA21,134744,Beşiktaş JK,1.7,37,31/07/2013 00:00,2021,3.4
FIFA21,212150,Crystal Palace,10,42,03/08/2018 00:00,2021,19.8
FIFA21,216320,Racing Club de Lens,10,36,18/08/2020 00:00,2024,20.8
FIFA21,231102,FC Nantes,11,22,02/09/2019 00:00,2024,24.2
FIFA21,226045,Monterrey,9,37,25/09/2020 00:00,2022,16
FIFA21,208621,Real Valladolid CF,7.5,21,03/07/2017 00:00,2023,15.8
FIFA21,189423,Beşiktaş JK,6,51,16/09/2020 00:00,2021,12
FIFA21,189221,Moreirense FC,5.5,13,01/07/2018 00:00,2023,11.6
FIFA21,233195,VfL Wolfsburg,10.5,35,01/07/2019 00:00,2023,20
FIFA21,147621,Spartak Moscow,4.7,2,25/01/2017 00:00,2019,9.8
FIFA21,183130,Leicester City,7.5,66,01/07/2014 00:00,2022,14.3
FIFA21,212623,RC Celta,10,22,14/07/2019 00:00,2024,21.8
FIFA21,236221,CA Osasuna,7.5,31,22/07/2019 00:00,2022,15.8
FIFA21,190824,Galatasaray SK,6.5,53,17/08/2020 00:00,2023,12.4
FIFA21,234573,Royal Antwerp FC,9.5,17,01/07/2018 00:00,2021,16.2
FIFA21,153177,Boca Juniors,4.8,19,06/07/2018 00:00,2021,6.7
FIFA21,234574,Manchester United,11,56,09/06/2018 00:00,2023,23.1
FIFA21,189860,Watford,6.5,18,01/07/2017 00:00,2021,11.7
FIFA21,199652,Leicester City,9,66,08/08/2019 00:00,2024,17.8
FIFA21,146963,River Plate,1.6,11,27/06/2017 00:00,2021,2.2
FIFA21,246069,TSG 1899 Hoffenheim,8,30,01/07/2016 00:00,2020,13.6
FIFA21,199935,Shijiazhuang Ever Bright F.C.,6.5,10,17/01/2020 00:00,2021,10.1
FIFA21,237043,Cruz Azul,11,40,25/09/2020 00:00,2022,20.9
FIFA21,205391,Torino,9.5,39,10/07/2018 00:00,2023,16.9
FIFA21,229359,Levante UD,5.5,21,01/07/2019 00:00,2021,11.6
FIFA21,204156,Al Ittihad,6.5,30,07/01/2019 00:00,2022,11.1
FIFA21,230457,Fortaleza,7,14,01/01/2019 00:00,2023,13.3
FIFA21,204876,Levante UD,6.5,22,01/07/2019 00:00,2022,13.7
FIFA21,207939,Tigres U.A.N.L.,6.5,39,02/07/2018 00:00,2021,10.4
FIFA21,152916,Deportivo Toluca,2.6,16,15/07/2020 00:00,2021,4.4
FIFA21,138456,Shandong Luneng TaiShan FC,4.7,20,17/01/2015 00:00,2019,10.1
FIFA21,216054,Racing Club,6,17,21/01/2019 00:00,2021,8.4
FIFA21,227647,Hertha BSC,9.5,31,04/02/2015 00:00,2023,18.1
FIFA21,206516,Watford,9.5,18,24/06/2017 00:00,2022,17.8
FIFA21,230348,Botafogo,6.5,22,01/01/2019 00:00,2023,12.4
FIFA21,207948,Aston Villa,10,49,19/09/2020 00:00,2024,19.8
FIFA21,207707,Wolverhampton Wanderers,5.5,60,06/09/2020 00:00,2022,10.5
FIFA21,215616,Valencia CF,9,30,01/07/2019 00:00,2022,19.6
FIFA21,212127,Hellas Verona,7.5,27,06/08/2019 00:00,2022,13.5
FIFA21,236441,Independiente,9,15,01/07/2016 00:00,2022,14.2
FIFA21,190456,Liverpool,6.5,67,01/07/2015 00:00,2020,12
FIFA21,188942,Montreal Impact,6.5,9,06/03/2020 00:00,2022,9.4
FIFA21,190416,Montpellier HSC,6.5,28,01/07/2018 00:00,2022,13
FIFA21,231887,LOSC Lille,10.5,28,06/08/2019 00:00,2024,20.7
FIFA21,181098,Eintracht Frankfurt,1.6,18,01/07/2014 00:00,2021,2.7
FIFA21,200630,Celtic,8,50,01/07/2009 00:00,2023,14.4
FIFA21,195202,Fulham,7.5,85,26/06/2015 00:00,2024,14.3
FIFA21,201858,Bologna,8,32,01/07/2019 00:00,2023,14.4
FIFA21,197402,Al Wehda,6,23,01/07/2018 00:00,2024,9.9
FIFA21,184144,SC Braga,6,15,11/08/2020 00:00,2021,12
FIFA21,201144,Genoa,6,16,16/09/2020 00:00,2023,10.8
FIFA21,208008,PFC CSKA Moscow,11,50,02/09/2013 00:00,2020,19.8
FIFA21,193290,FC Barcelona,7.5,125,20/02/2020 00:00,2024,15.4
FIFA21,144622,Borussia Mönchengladbach,4.1,29,01/07/2013 00:00,2020,7
FIFA21,188770,VfL Wolfsburg,7.5,45,31/01/2018 00:00,2022,12.8
FIFA21,188253,Crystal Palace,6.5,46,07/08/2019 00:00,2022,12.4
FIFA21,194845,AS Saint-Étienne,7.5,34,17/07/2018 00:00,2022,15
FIFA21,178416,Beşiktaş JK,6,56,28/02/2018 00:00,2022,12
FIFA21,200746,Sheffield United,9,34,25/07/2017 00:00,2021,17.8
FIFA21,234678,KRC Genk,9,13,01/07/2017 00:00,2023,14.2
FIFA21,228414,West Bromwich Albion,10.5,61,27/07/2020 00:00,2022,21.8
FIFA21,186200,Hellas Verona,7.5,30,14/01/2020 00:00,2020,13.5
FIFA21,215270,Columbus Crew SC,8,10,01/01/2020 00:00,2022,12
FIFA21,200054,Sassuolo,7.5,29,24/07/2019 00:00,2023,13.3
FIFA21,239817,LOSC Lille,11,21,12/07/2017 00:00,2022,23.1
FIFA21,188536,Spartak Moscow,8,2,31/01/2018 00:00,2021,17.6
FIFA21,186330,SV Werder Bremen,3.5,25,01/07/2012 00:00,2021,6
FIFA21,147006,Perth Glory,2.6,8,06/08/2015 00:00,2020,3.3
FIFA21,240950,Sporting CP,13,12,18/08/2020 00:00,2025,28.6
FIFA21,188388,AS Saint-Étienne,7.5,30,27/07/2019 00:00,2022,15
FIFA21,177358,OGC Nice,6.5,30,01/07/2020 00:00,2023,12.4
FIFA21,205402,1. FSV Mainz 05,9,27,27/08/2018 00:00,2022,16.9
FIFA21,199737,Al Ain FC,7.5,500,16/07/2020 00:00,2022,16.1
FIFA21,211454,Arsenal,8,60,14/01/2016 00:00,2022,15.8
FIFA21,212722,Newcastle United,8,34,24/08/2016 00:00,2021,15.8
FIFA21,187491,Lokomotiv Moscow,7.5,47,09/08/2018 00:00,2022,12
FIFA21,208451,1. FSV Mainz 05,9,29,31/01/2017 00:00,2021,16.9
FIFA21,230373,São Paulo,8.5,30,01/01/2019 00:00,2023,16.2
FIFA21,226377,Al Nassr,9,36,07/09/2020 00:00,2024,16
FIFA21,198368,Deportivo Alavés,6,24,12/08/2018 00:00,2021,12.6
FIFA21,224263,Everton,9.5,52,18/07/2014 00:00,2022,20
FIFA21,199561,RC Celta,4.7,25,18/06/2020 00:00,2022,9.9
FIFA21,229712,AS Monaco,9,34,30/01/2017 00:00,2021,17.8
FIFA21,224540,Dalian YiFang FC,11,17,20/02/2019 00:00,2022,19.3
FIFA21,193116,Granada CF,6,23,04/08/2020 00:00,2023,12.6
FIFA21,178255,Galatasaray SK,2.9,51,14/08/2020 00:00,2021,5.5
FIFA21,200318,FC Schalke 04,8,28,01/07/2018 00:00,2022,13.6
FIFA21,233631,Getafe CF,10.5,23,10/08/2017 00:00,2022,24.2
FIFA21,220196,Bournemouth,11,13,01/07/2018 00:00,2022,23.1
FIFA21,192722,AS Saint-Étienne,4.7,30,19/07/2012 00:00,2021,9.4
FIFA21,214009,Al Hilal,8.5,33,30/08/2019 00:00,2023,15.1
FIFA21,243686,SL Benfica,10.5,12,01/07/2019 00:00,2024,21.8
FIFA21,209523,Olimpia Asunción,9,500,25/09/2020 00:00,2022,20.5
FIFA21,230967,Santos Laguna,9,26,01/07/2018 00:00,2021,16
FIFA21,183883,BB Erzurumspor,4.7,15,28/08/2018 00:00,2020,9.1
FIFA21,184392,Parma,6,28,02/09/2019 00:00,2023,10.8
FIFA21,205346,West Ham United,7.5,34,01/07/2018 00:00,2022,14.8
FIFA21,209744,Racing Club,5.5,17,08/08/2018 00:00,2022,7.7
FIFA21,226515,FC Nantes,7,24,12/08/2017 00:00,2024,14
FIFA21,221697,Aston Villa,10.5,49,09/09/2020 00:00,2025,20.7
FIFA21,229221,VfL Wolfsburg,8.5,35,01/07/2017 00:00,2022,15.1
FIFA21,225782,Arsenal,10,52,24/10/2014 00:00,2023,21
FIFA21,158438,Eintracht Frankfurt,5,29,01/07/2017 00:00,2020,8.5
FIFA21,227890,Sporting CP,9.5,14,21/08/2020 00:00,2025,19.7
FIFA21,146758,Granada CF,3.5,21,15/07/2019 00:00,2021,7.4
FIFA21,183125,Watford,6,21,06/08/2010 00:00,2021,10.8
FIFA21,202201,FC Augsburg,7,26,09/01/2016 00:00,2024,12.6
FIFA21,232999,RB Leipzig,11,29,01/01/2019 00:00,2025,20.9
FIFA21,211382,Sevilla FC,8.5,23,02/07/2018 00:00,2022,18.5
FIFA21,176949,Sporting CP,7,20,07/07/2015 00:00,2018,14
FIFA21,252935,Tigres U.A.N.L.,12,31,23/06/2019 00:00,2024,21.6
FIFA21,227222,Aston Villa,9,44,31/01/2019 00:00,2023,17.8
FIFA21,239015,Club Brugge KV,11,24,01/07/2017 00:00,2022,17.6
FIFA21,235634,Stade de Reims,9,20,01/07/2018 00:00,2022,18.7
FIFA21,235844,Ajax,10,13,22/07/2019 00:00,2024,16
FIFA21,216350,Dinamo Zagreb,6.5,500,01/07/2010 00:00,2023,14.3
FIFA21,169792,Burnley,7.5,53,09/07/2019 00:00,2021,14.3
FIFA21,211368,PSV,9,17,01/07/2019 00:00,2024,13.3
FIFA21,164859,Everton,7,66,17/01/2018 00:00,2021,13.3
FIFA21,209519,Montpellier HSC,9.5,33,16/08/2018 00:00,2023,19.7
FIFA21,182495,Fiorentina,3.6,42,30/08/2019 00:00,2022,6.1
FIFA21,230625,Rio Ave FC,8.5,10,01/07/2018 00:00,2021,18.5
FIFA21,188955,New England Revolution,7.5,10,10/07/2019 00:00,2021,11.3
FIFA21,158232,Hertha BSC,4.7,27,31/08/2014 00:00,2020,8
FIFA21,152554,Medipol Başakşehir FK,3.5,32,07/07/2017 00:00,2020,6.7
FIFA21,213955,Rubin Kazan,11.5,50,14/07/2017 00:00,2020,20.7
FIFA21,230463,Atlético Mineiro,6,33,01/01/2019 00:00,2023,11.4
FIFA21,216816,Cagliari,10.5,29,31/08/2020 00:00,2024,18.6
FIFA21,228881,Milan,9,27,01/07/2015 00:00,2022,16
FIFA21,20800,Clube Sport Marítimo,3.9,10,22/07/2018 00:00,2020,8.2
FIFA21,214977,Monterrey,8.5,36,27/01/2020 00:00,2023,15.1
FIFA21,236786,Stade Rennais FC,10.5,39,06/07/2020 00:00,2025,22.1
FIFA21,155897,Seattle Sounders FC,3.4,7,03/08/2013 00:00,2019,5.1
FIFA21,199419,Stade Malherbe Caen,7.5,9,18/09/2020 00:00,2022,13.1
FIFA21,230453,Cruzeiro,7.5,22,01/01/2018 00:00,2022,14.3
FIFA21,227234,Hertha BSC,9.5,31,27/01/2020 00:00,2025,16.9
FIFA21,184120,Villarreal CF,3.2,22,01/07/2005 00:00,2020,6.7
FIFA21,218659,Aston Villa,9,40,01/07/2019 00:00,2023,17.8
FIFA21,172049,FC Utrecht,4.7,18,19/08/2020 00:00,2022,7.1
FIFA21,183526,CD Leganés,7,30,31/01/2017 00:00,2020,14.7
FIFA21,235424,TSG 1899 Hoffenheim,9.5,25,15/08/2019 00:00,2024,18.1
FIFA21,152996,Rosenborg BK,3.7,8,30/06/2020 00:00,2022,4.8
FIFA21,183820,Toulouse Football Club,7,30,03/08/2018 00:00,2021,14
FIFA21,232730,Eintracht Frankfurt,10,23,17/07/2017 00:00,2023,17.8
FIFA21,177765,Alanyaspor,4.1,17,31/08/2018 00:00,2020,8.2
FIFA21,146439,Cádiz CF,4.1,31,04/08/2020 00:00,2021,9
FIFA21,179527,Çaykur Rizespor,4.8,17,28/08/2020 00:00,2022,9.6
FIFA21,212977,Hertha BSC,9,35,24/08/2015 00:00,2022,16
FIFA21,137809,Beşiktaş JK,4.1,50,30/01/2018 00:00,2020,7.7
FIFA21,179560,BSC Young Boys,7,23,10/06/2015 00:00,2022,10.5
FIFA21,201505,RCD Espanyol,6.5,9,26/08/2016 00:00,2023,9.8
FIFA21,191910,Shanghai Greenland Shenhua FC,6,19,08/07/2019 00:00,2021,9.3
FIFA21,184858,Chongqing Dangdai Lifan FC SWM Team,7,14,15/09/2016 00:00,2020,10.9
FIFA21,228635,Real Madrid,10.5,105,29/04/2015 00:00,2021,23.6
FIFA21,204385,Godoy Cruz,7.5,13,08/01/2016 00:00,2021,10.9
FIFA21,210930,New England Revolution,8,9,13/02/2019 00:00,2024,12
FIFA21,220085,SL Benfica,11,13,25/09/2020 00:00,2022,24.2
FIFA21,202851,Sassuolo,7.5,35,01/09/2020 00:00,2024,12.8
FIFA21,213814,SPAL,8.5,36,05/07/2018 00:00,2021,15.3
FIFA21,210972,Newcastle United,8.5,34,21/07/2017 00:00,2024,16.8
FIFA21,210136,Dynamo Kyiv,8.5,500,11/07/2017 00:00,2021,19.3
FIFA21,165501,Club Atlas,2.3,20,27/08/2018 00:00,2019,4
FIFA21,203903,Aalborg BK,9,17,10/03/2019 00:00,2024,11.9
FIFA21,189574,RCD Espanyol,7,26,08/07/2019 00:00,2020,14.7
FIFA21,232381,Aston Villa,10.5,49,01/07/2019 00:00,2024,20.7
FIFA21,234128,LOSC Lille,10.5,28,01/07/2017 00:00,2022,22.1
FIFA21,212911,Levante UD,8,25,02/07/2019 00:00,2022,16.8
FIFA21,232244,Hertha BSC,9.5,31,01/01/2020 00:00,2024,18.1
FIFA21,189358,Real Zaragoza,7,12,09/08/2019 00:00,2021,11.2
FIFA21,214491,Tigres U.A.N.L.,7.5,44,01/01/2016 00:00,2020,12
FIFA21,225659,Real Betis,8.5,20,14/01/2020 00:00,2024,18.5
FIFA21,238305,CA Osasuna,8.5,26,13/07/2018 00:00,2022,18.5
FIFA21,237207,FC Girondins de Bordeaux,10.5,26,06/08/2018 00:00,2023,20.7
FIFA21,160741,Eintracht Frankfurt,3.6,25,02/07/2015 00:00,2021,6.1
FIFA21,213388,Stade Rennais FC,8,41,09/07/2019 00:00,2023,15.2
FIFA21,230475,Santos,8,27,01/01/2019 00:00,2023,15.2
FIFA21,199745,FC Midtjylland,7.5,26,01/07/2018 00:00,2022,10.3
FIFA21,205855,AEK Athens,9,500,29/06/2018 00:00,2021,20.5
FIFA21,221125,Zenit St. Petersburg,11,50,08/07/2017 00:00,2021,18.7
FIFA21,189156,Wuhan Zall,5.5,12,20/02/2020 00:00,2021,8.5
FIFA21,219862,Junior FC,9,5,07/01/2020 00:00,2020,13.3
FIFA21,205431,SV Werder Bremen,9,29,01/07/2019 00:00,2023,16
FIFA21,195586,FC Augsburg,7,29,02/07/2014 00:00,2022,12.6
FIFA21,215689,Napoli,10.5,54,30/01/2020 00:00,2025,18.6
FIFA21,222368,Lokomotiv Moscow,11,38,01/01/2012 00:00,2021,19.8
FIFA21,186392,Crystal Palace,6,44,28/05/2012 00:00,2021,11.4
FIFA21,246844,Granada CF,9,20,01/07/2017 00:00,2022,19.6
FIFA21,229862,SD Eibar,10.5,23,13/07/2019 00:00,2024,24.2
FIFA21,183426,PSV,6,16,11/07/2016 00:00,2020,8.4
FIFA21,234711,VfL Wolfsburg,11,35,01/07/2016 00:00,2023,20.9
FIFA21,241202,FC Red Bull Salzburg,12,22,01/07/2017 00:00,2024,20.4
FIFA21,183580,SC Freiburg,7,27,01/07/2015 00:00,2021,12.6
FIFA21,253004,FC Barcelona,15,24,01/07/2018 00:00,2022,40.1
FIFA21,207894,FC Augsburg,6.5,25,01/07/2020 00:00,2023,11.7
FIFA21,228236,Club Brugge KV,7.5,24,10/07/2019 00:00,2022,11.1
FIFA21,173608,Deportivo Alavés,7.5,26,15/07/2019 00:00,2022,15.8
FIFA21,192663,DSC Arminia Bielefeld,6,27,01/07/2011 00:00,2021,10.8
FIFA21,221540,SC Braga,6,14,01/07/2017 00:00,2022,12
FIFA21,190362,Norwich City,7.5,14,01/07/2018 00:00,2022,14.3
FIFA21,158625,OGC Nice,1.6,21,23/08/2016 00:00,2021,3
FIFA21,212602,Leeds United,8.5,74,24/09/2020 00:00,2024,17.6
FIFA21,231786,Sporting CP,9.5,15,25/09/2020 00:00,2022,19.7
FIFA21,221014,Sevilla FC,11,24,01/07/2013 00:00,2022,25.3
FIFA21,185239,SV Werder Bremen,6,25,01/07/2020 00:00,2023,10.2
FIFA21,190324,Watford,7.5,18,01/07/2016 00:00,2021,14.1
FIFA21,224221,Olympique Lyonnais,9.5,41,12/07/2019 00:00,2024,20
